node.count     edge.count      avg.degree      min.degree      max.degree
6075998 8463002 2.78572 0       3979
2529535 3502863 2.76957 0       1903
31381   43260   2.75708 0       15
36      0       0       0       0
2       0       0       0       0
81      0       0       0       0
1       0       0       0       0
1       0       0       0       0
3       0       0       0       0
2       0       0       0       0
6       0       0       0       0
5661616 7948240 2.80776 1       5395
7117289 9865913 2.77238 1       4078
4627685 6484214 2.80236 1       3697
5083736 7269919 2.86007 1       7656
3213597 4688319 2.9178  1       3978
4916817 6844734 2.78421 1       3364
3739686 5212749 2.7878  1       2525
4378240 6332205 2.89258 1       4297
4706950 6565649 2.78977 1       1736
