.	westar.genome.A10C9	quintaA.genome.A10C9	NTS57.genome.A10C9	tapidor3.genome.A10C9	shengli3.genome.A10C9	BnXiaoyun.genome.A10C9	GCA_033441925.1_ASM3344192v1_genomic.A10C9	GCA_026770265.1_ASM2677026v1_genomic.A10C9	Express617_v1.A10C9	ganganF73.genome.A10C9	GCF_020379485.1_Da-Ae_genomic.A10C9	GCA_026770255.1_ASM2677025v1_genomic.A10C9	BnapusDarmor-bzh_chromosomes.A10C9	zheyou73.genome.A10C9	zs11.genome.A10C9	no2127.genome.A10C9
Westar	0	0.00651696	0.00710972	0.00659353	0.00916565	0.00538522	0.00684985	0.00802	0.00747157	0.00662843	0.00825447	0.00799371	0.00729702	0.00818231	0.00679337	0.0103267
QuintaA	0.00651696	0	0.00630972	0.00486359	0.00875545	0.00654825	0.0066005	0.00806893	0.00458331	0.00724641	0.0073514	0.00810287	0.00548677	0.00731875	0.00766248	0.011251
NTS57	0.00710972	0.00630972	0	0.00612516	0.0086581	0.00716715	0.00693489	0.00808024	0.00652043	0.00746792	0.00770681	0.0080727	0.00668442	0.00758883	0.00772531	0.0122929
Tapidor3	0.00659353	0.00486359	0.00612516	0	0.0088729	0.00712047	0.00730064	0.00813688	0.00500059	0.00744602	0.00737682	0.00802	0.00561202	0.00717794	0.00779949	0.0115806
Shengli3	0.00916565	0.00875545	0.0086581	0.0088729	0	0.00794871	0.00750082	0.00726086	0.00922952	0.00763299	0.00752645	0.00729702	0.00912584	0.0064892	0.00714918	0.0121448
BnXiaoyun	0.00538522	0.00654825	0.00716715	0.00712047	0.00794871	0	0.00576147	0.00729702	0.00721755	0.00615239	0.0069136	0.00725724	0.00667741	0.006974	0.00652391	0.0111233
Xiang5A	0.00684985	0.0066005	0.00693489	0.00730064	0.00750082	0.00576147	0	0.00655173	0.0073841	0.00611836	0.00633378	0.00655521	0.00707748	0.00614558	0.00551636	0.0117972
Zy821	0.00802	0.00806893	0.00808024	0.00813688	0.00726086	0.00729702	0.00655173	0	0.00779949	0.00655173	0.00651349	0.00410241	0.0080727	0.00587519	0.0058819	0.0121771
Express617	0.00747157	0.00458331	0.00652043	0.00500059	0.00922952	0.00721755	0.0073841	0.00779949	0	0.00758515	0.00718514	0.00790383	0.00472448	0.00788142	0.00791504	0.0124935
GanganF73	0.00662843	0.00724641	0.00746792	0.00744602	0.00763299	0.00615239	0.00611836	0.00655173	0.00758515	0	0.00703102	0.00657261	0.00766617	0.00595252	0.00594579	0.0118881
Da-Ae	0.00825447	0.0073514	0.00770681	0.00737682	0.00752645	0.0069136	0.00633378	0.00651349	0.00718514	0.00703102	0	0.00652043	0.007326	0.00693134	0.00674058	0.0122233
GH06	0.00799371	0.00810287	0.0080727	0.00802	0.00729702	0.00725724	0.00655521	0.00410241	0.00790383	0.00657261	0.00652043	0	0.00821266	0.00602003	0.00594242	0.012564
Darmor	0.00729702	0.00548677	0.00668442	0.00561202	0.00912584	0.00667741	0.00707748	0.0080727	0.00472448	0.00766617	0.007326	0.00821266	0	0.00758515	0.00795995	0.0124561
Zheyou73	0.00818231	0.00731875	0.00758883	0.00717794	0.0064892	0.006974	0.00614558	0.00587519	0.00788142	0.00595252	0.00693134	0.00602003	0.00758515	0	0.00610137	0.0118335
Zs11	0.00679337	0.00766248	0.00772531	0.00779949	0.00714918	0.00652391	0.00551636	0.0058819	0.00791504	0.00594579	0.00674058	0.00594242	0.00795995	0.00610137	0	0.0120528
No2127	0.0103267	0.011251	0.0122929	0.0115806	0.0121448	0.0111233	0.0117972	0.0121771	0.0124935	0.0118881	0.0122233	0.012564	0.0124561	0.0118335	0.0120528	0
